2018-06-20 19:42:23 ERROR (SyncWorker_5) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:42:24 ERROR (SyncWorker_10) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:42:25 ERROR (SyncWorker_1) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:42:27 ERROR (SyncWorker_13) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:42:29 ERROR (SyncWorker_14) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:42:30 ERROR (SyncWorker_3) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:42:31 ERROR (SyncWorker_9) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:42:33 ERROR (SyncWorker_5) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:42:35 ERROR (SyncWorker_6) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:42:36 ERROR (SyncWorker_4) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:42:37 ERROR (SyncWorker_13) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:42:39 ERROR (SyncWorker_14) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:42:41 ERROR (SyncWorker_3) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:42:42 ERROR (SyncWorker_2) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:42:43 ERROR (SyncWorker_17) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:42:45 ERROR (SyncWorker_5) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:42:47 ERROR (SyncWorker_6) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:42:48 ERROR (SyncWorker_10) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:42:49 ERROR (SyncWorker_13) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:42:51 ERROR (SyncWorker_14) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:42:53 ERROR (SyncWorker_3) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:42:54 ERROR (SyncWorker_16) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:42:55 ERROR (SyncWorker_17) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:42:57 ERROR (SyncWorker_5) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:42:59 ERROR (SyncWorker_6) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:43:00 ERROR (SyncWorker_8) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:43:01 ERROR (SyncWorker_13) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:43:03 ERROR (SyncWorker_14) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:43:05 ERROR (SyncWorker_7) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:43:06 ERROR (SyncWorker_9) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:43:07 ERROR (SyncWorker_5) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:43:09 ERROR (SyncWorker_6) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:43:11 ERROR (SyncWorker_4) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:43:12 ERROR (SyncWorker_10) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:43:13 ERROR (SyncWorker_14) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:43:15 ERROR (SyncWorker_3) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:43:17 ERROR (SyncWorker_7) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:43:18 ERROR (SyncWorker_15) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:43:19 ERROR (SyncWorker_5) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:43:21 ERROR (SyncWorker_6) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:43:23 ERROR (SyncWorker_4) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:43:24 ERROR (SyncWorker_13) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:43:25 ERROR (SyncWorker_14) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:43:27 ERROR (SyncWorker_3) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:43:29 ERROR (SyncWorker_7) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:43:30 ERROR (SyncWorker_15) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:43:31 ERROR (SyncWorker_5) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:43:33 ERROR (SyncWorker_6) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:43:35 ERROR (SyncWorker_19) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:43:36 ERROR (SyncWorker_14) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:43:37 ERROR (SyncWorker_3) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:43:39 ERROR (SyncWorker_7) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:43:41 ERROR (SyncWorker_15) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:43:42 ERROR (SyncWorker_5) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:43:43 ERROR (SyncWorker_6) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:43:45 ERROR (SyncWorker_4) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:43:47 ERROR (SyncWorker_19) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:43:48 ERROR (SyncWorker_14) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:43:49 ERROR (SyncWorker_3) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:43:51 ERROR (SyncWorker_7) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:43:53 ERROR (SyncWorker_15) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:43:54 ERROR (SyncWorker_16) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:43:55 ERROR (SyncWorker_6) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:43:57 ERROR (SyncWorker_4) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:43:59 ERROR (SyncWorker_19) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:44:00 ERROR (SyncWorker_14) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:44:01 ERROR (SyncWorker_3) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:44:03 ERROR (SyncWorker_7) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:44:05 ERROR (SyncWorker_15) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:44:06 ERROR (SyncWorker_18) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:44:07 ERROR (SyncWorker_4) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:44:09 ERROR (SyncWorker_19) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:44:11 ERROR (SyncWorker_11) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:44:12 ERROR (SyncWorker_1) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:44:13 ERROR (SyncWorker_7) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:44:15 ERROR (SyncWorker_15) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:44:17 ERROR (SyncWorker_2) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:44:18 ERROR (SyncWorker_9) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:44:19 ERROR (SyncWorker_4) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:44:21 ERROR (SyncWorker_19) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:44:23 ERROR (SyncWorker_11) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:44:24 ERROR (SyncWorker_12) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:44:25 ERROR (SyncWorker_7) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:44:27 ERROR (SyncWorker_15) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:44:29 ERROR (SyncWorker_2) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:44:30 ERROR (SyncWorker_17) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:44:31 ERROR (SyncWorker_4) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:44:33 ERROR (SyncWorker_19) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:44:35 ERROR (SyncWorker_11) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:44:36 ERROR (SyncWorker_1) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:44:37 ERROR (SyncWorker_15) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:44:39 ERROR (SyncWorker_2) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:44:41 ERROR (SyncWorker_16) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:44:42 ERROR (SyncWorker_4) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
